Title,Bugtraq_ID,Credit,Published,CVE,Vulnerable
Joomla! 'com_tag' Component CVE-2017-15946 SQL Injection Vulnerability,101942,Amir - Iranian Exploit Database,Nov 23 2017 12:00AM,CVE-2017-15946,Joomla com_tag  1.7.6
Jenkins Git Client Plugin CVE-2017-1000242 Insecure Temporary File Creation Vulnerability,101940,"Steven Christou, CloudBees, Inc.",Nov 01 2017 12:00AM,CVE-2017-1000242,Jenkins Git Client 2.4.2
GNU Binutils 'readelf.c' Heap Buffer Overflow Vulnerability,101941,Mingi Cho,Nov 02 2017 12:00AM,CVE-2017-16830,GNU Binutils 2.29.1
HP Integrated Lights-Out and Moonshot RCA Unspecified Information Disclosure Vulnerability,101944,Daniel Lawson from MWR InfoSecurity.,Aug 24 2017 12:00AM,CVE-2017-12543,HP ProLiant Integrated Lights Out 3  1.88
Jenkins Favorite Plugin CVE-2017-1000244 Cross Site Request Forgery Vulnerability,101943,"Andres Rodriguez, CloudBees, Inc.",Nov 01 2017 12:00AM,CVE-2017-1000244,Jenkins-Ci Favorite Plugin 2.2
Atlassian Hipchat Server and Data Center CVE-2017-14585 Remote Code Execution Vulnerability,101945,z0rg,Nov 22 2017 12:00AM,CVE-2017-14585,Atlassian HipChat Server 2.2.5
Jenkins Favorite Plugin CVE-2017-1000243 Security Bypass Vulnerability,101946,"Andres Rodriguez, CloudBees, Inc.",Nov 01 2017 12:00AM,CVE-2017-1000243,Jenkins-Ci Favorite Plugin 2.2
Atlassian Hipchat for Mac CVE-2017-14586 Remote Code Execution Vulnerability,101947,credit Matt Austin,Nov 22 2017 12:00AM,CVE-2017-14586,Atlassian Hipchat for Mac  4.0
PostgreSQL CVE-2017-12172 Remote Privilege Escalation Vulnerabilities,101949,The vendor reported this issue.,Nov 09 2017 12:00AM,CVE-2017-12172,Redhat Satellite  5
Multiple Huawei Products CVE-2017-8200 Denial of Service Vulnerability,101948,The vendor reported this issue.,Sep 27 2017 12:00AM,CVE-2017-8200,Huawei TP3206  V100R002C00
Multiple Huawei Products CVE-2017-8201 Denial of Service Vulnerability,101952,The vendor reported this issue.,Sep 27 2017 12:00AM,CVE-2017-8201,Huawei TP3206  V100R002C00
TYPO3 Recommend Page Extension Cross Site Scripting Vulnerability,101936,Siddhartha Tripathy,Nov 07 2017 12:00AM,,Typo3 Recommend Page  2.0.3
Fortinet FortiOS CVE-2017-14186 URI Redirection and Cross Site Scripting Vulnerabilities,101955,Stefan Viehbck from SEC Consult Vulnerability Lab,Nov 23 2017 12:00AM,CVE-2017-14186,Fortinet Fortios 5.6.2
Linux Kernel CVE-2017-16939 Local Privilege Escalation Vulnerability,101954,Mohamed Ghannam,Nov 24 2017 12:00AM,CVE-2017-16939,Redhat Enterprise Mrg  2
OpenSSL CVE-2016-2180 Local Denial of Service Vulnerability,92117,Shi Lei.,Jul 21 2016 12:00AM,CVE-2016-2180,Oracle VM VirtualBox 5.0.26
OpenSSL CVE-2016-2181 Denial of Service Vulnerability,92982,The vendor reported this issue.,Jul 05 2016 12:00AM,CVE-2016-2181,Pexip Pexip Infinity  9.1
MOXA EDS-G512E CVE-2017-13701 Information Disclosure Vulnerability,101966,Sentryo Security Labs.,Nov 23 2017 12:00AM,CVE-2017-13701,Moxa EDS-G512E  5.1 build 16072215
OpenSSL 'BN_bn2dec()' Function Out of Bounds Write Denial of Service Vulnerability,92557,Shi Lei,Aug 16 2016 12:00AM,CVE-2016-2182,Oracle VM VirtualBox 5.0.26
OpenSSL CVE-2016-6302 Denial of Service Vulnerability,92628,Shi Lei.,Aug 24 2016 12:00AM,CVE-2016-6302,Oracle VM VirtualBox 5.0.26
OpenSSL CVE-2016-6304 Denial of Service Vulnerability,93150,"Shi Lei (Gear Team, Qihoo 360 Inc.)",Sep 23 2016 12:00AM,CVE-2016-6304,Redhat JBoss Web Server  0
OpenStack Nova CVE-2017-16239 Security Bypass Vulnerability,101950,George Shuklin,Nov 14 2017 12:00AM,CVE-2017-16239,Redhat OpenStack Platform  9.0
PHPMailer 'code_generator.php' Cross Site Scripting Vulnerability,99293,Shahab Shamsi,Jun 25 2017 12:00AM,CVE-2017-11503,Typo3 Multishop  5.0.0
Fortinet FortiWebManager CVE-2017-14189 Security Bypass Vulnerability,101953,Abdulaziz Alrushaid of Saudi Aramco.,Nov 24 2017 12:00AM,CVE-2017-14189,Fortinet FortiWebManager 5.8
Node.js ejs Package 'ejs.renderFile()' Function Remote Code Execution Vulnerability,101897,Snyk Security Research Team,Nov 16 2017 12:00AM,CVE-2017-1000228,mde ejs 2.5.2
Multiple Huawei Products CVE-2017-8199 Denial of Service Vulnerability,101951,The vendor reported this issue.,Sep 27 2017 12:00AM,CVE-2017-8199,Huawei TP3206  V100R002C00
OpenSAML CVE-2017-16853 Multipal Security Bypass Vulnerabilites,101898,Rod Widdowson,Nov 16 2017 12:00AM,CVE-2017-16853,Internet2 OpenSAML 2.6
Multiple VMware Products CVE-2017-4934 Local Heap Buffer Overflow Vulnerability,101903,Jun Mao of Tencent PC Manager working with Trend Micro's Zero Day Initiative.,Nov 16 2017 12:00AM,CVE-2017-4934,VMWare Workstation 12.5.7
Multiple VMware Products Out of Bounds Write Local Arbitrary Code Execution Vulnerability,101902,Anonymous working with Trend Micro's Zero Day Initiative.,Nov 16 2017 12:00AM,CVE-2017-4935,VMWare Workstation 12.5.7
OpenSSL CVE-2016-6306 Local Denial of Service Vulnerability,93153,"Shi Lei (Gear Team, Qihoo 360 Inc.)",Sep 23 2016 12:00AM,CVE-2016-6306,Oracle VM VirtualBox 5.0.26
Samba CVE-2017-14746 Arbitrary Code Execution Vulnerability,101907,Yihan Lian and Zhibin Hu of Qihoo 360 GearTeam.,Nov 21 2017 12:00AM,CVE-2017-14746,Samba Samba 4.6.8
Infinispan 'hotrod java' Client Remote Code Execution Vulnerability,101910,Sebastian Olsson (TrueSec).,Nov 16 2017 12:00AM,CVE-2016-0750,Redhat JBoss Data Grid  7.1.0
OpenSSL CVE-2016-6303 Integer Overflow Vulnerability,92984,Shi Lei.,Aug 20 2016 12:00AM,CVE-2016-6303,Oracle VM VirtualBox 5.0.26
OpenSSL CVE-2016-2178 Side Channel Attack Information Disclosure Vulnerability,91081,Cesar Pereida,Jun 08 2016 12:00AM,CVE-2016-2178,Oracle VM VirtualBox 5.0.26
Cisco IP Phone 8800 Series CVE-2017-12305 Local Command Injection Vulnerability,101869,Cisco.,Nov 15 2017 12:00AM,CVE-2017-12305,Cisco IP Phone 8800 Series  0
Cisco FindIT Discovery Utility DLL Loading Local Arbitrary Code Execution Vulnerability,101896,Stefan Kanthak,Nov 15 2017 12:00AM,CVE-2017-12314,Cisco Small Business FindIT Network Discovery Utility  2.1
IBM Tivoli Monitoring CVE-2017-1635 Remote Code Execution Vulnerability,101905,Emanuele Calvelli with Quantum Leap srl.,Nov 17 2017 12:00AM,CVE-2017-1635,IBM Tivoli Monitoring 6.2.2 Fix Pack 09
Oracle Tuxedo CVE-2017-10272 Remote Security Vulnerability,101871,Dmitrii Iudin aka @ret5et of ERPScan.,Nov 15 2017 12:00AM,CVE-2017-10272,Oracle Tuxedo 12.2.2
Oracle Tuxedo CVE-2017-10278 Remote Security Vulnerability,101870,Dmitrii Iudin aka @ret5et of ERPScan.,Nov 14 2017 12:00AM,CVE-2017-10278,Oracle Tuxedo 12.2.2
Apache Karaf CVE-2014-0219 Local Denial of Service Vulnerability,101872,David Jorm of Red Hat Product Security.,Nov 15 2017 12:00AM,CVE-2014-0219,Apache Karaf  0
Oracle Tuxedo CVE-2017-10267	Remote Security Vulnerability,101875,Dmitrii Iudin aka @ret5et of ERPScan.,Nov 15 2017 12:00AM,CVE-2017-10267,Oracle Tuxedo 12.2.2
Multiple TIBCO Products CVE-2014-2542  Multiple HTML Injection Vulnerabilities,101873,The vendor reported this issue.,Nov 15 2017 12:00AM,CVE-2017-5532,TIBCO Jaspersoft Studio for ActiveMatrix BPM 6.4
IBM Rational DOORS Next Generation Multiple Cross Site Scripting Vulnerabilities,101904,IBM,Nov 16 2017 12:00AM,"CVE-2017-1607
				
					CVE-2017-1650
				
					CVE-2017-1688
				
					CVE-2017-1689",IBM Rational DOORS Next Generation 6.0.4
Cisco Umbrella Insights Virtual Appliance CVE-2017-12350 Local Privilege Escalation Vulnerability,101879,David Coomber.,Nov 15 2017 12:00AM,CVE-2017-12350,Cisco Umbrella Insights Virtual Appliance  0
Amazon Key CVE-2017-16867 Security Weakness,101899,Rhino Security Labs.,Nov 20 2017 12:00AM,CVE-2017-16867,Amazon Key  0
Apache CouchDB CVE-2017-12635 Remote Privilege Escalation Vulnerability,101868,Max Justicz,Nov 14 2017 12:00AM,CVE-2017-12635,Apache CouchDB 2.1
Libav CVE-2017-16803 Denial of Service Vulnerability,101882,hackyzh.,Nov 13 2017 12:00AM,CVE-2017-16803,Libav Libav  12.1
Node.js CVE-2017-14919 Denial of Service Vulnerability,101881,Michael Dawson,Oct 30 2017 12:00AM,CVE-2017-14919,Nodejs Node.Js 6.11.4
HP Insight Control CVE-2017-8969 Multiple Unspecified Input Validation Security Vulnerabilities,101883,Reported by the vendor.,Nov 13 2017 12:00AM,CVE-2017-8969,HP Insight Control  7.6 LR1
IBM Jazz Reporting Service CVE-2017-1340 Information Disclosure Vulnerability,101880,The vendor reported the issue.,Oct 26 2017 12:00AM,CVE-2017-1340,IBM Jazz Reporting Service 6.0.4
IBM Business Process Manager CVE-2017-1628 Denial of Service Vulnerability,101900,The vendor reported the issue.,Nov 10 2017 12:00AM,CVE-2017-1628,IBM Business Process Manager  8.6.0.0
Multiple Moxa NPort Products Multiple Denial of Service and Information Disclosure Vulnerabilities,101885,Florian Adamsky,Nov 16 2017 12:00AM,"CVE-2017-16719
				
					CVE-2017-14028
				
					CVE-2017-16715",Moxa NPort 5150  3.7
Linux kernel CVE-2017-15115 Local Denial of Service Vulnerability,101877,ChunYu Wang (Red Hat).,Nov 15 2017 12:00AM,CVE-2017-15115,Linux kernel 4.13.11
Apache Camel CVE-2017-12634 Deserialization Remote Code Execution Vulnerability,101876,Man Yue Mo,Nov 15 2017 12:00AM,CVE-2017-12634,Apache Camel 2.20
Node.js ejs Package 'ejs.renderFile()' function Cross Site Scripting Vulnerability,101889,Snyk Security Research Team.,Nov 16 2017 12:00AM,CVE-2017-1000188,mde ejs 2.5.4
VMware Workstation DLL Loading CVE-2017-4939 Local Code Execution Vulnerability,101890,BjÃ¶rn Ruytenberg,Nov 16 2017 12:00AM,CVE-2017-4939,VMWare Workstation 12.5.7
Intel Unite App CVE-2017-5738 Privilege Escalation Vulnerability,101888,The vendor reported this issue.,Nov 14 2017 12:00AM,CVE-2017-5738,Intel Unite App  3.1.45.26
IBM Rational DOORS Next Generation Multiple Cross Site Scripting Vulnerabilities,101895,IBM,Nov 16 2017 12:00AM,"CVE-2017-1593
				
					CVE-2017-1546
				
					CVE-2017-1560
				
					CVE-2017-1678
				
					CVE-2017-1461",IBM Rational Requirements Composer 5.0.2
IBM WebSphere Commerce CVE-2017-1484 Information Disclosure Vulnerability,101894,IBM,Nov 14 2017 12:00AM,CVE-2017-1484,IBM WebSphere Commerce  8.0.4.8
 Node.js ejs Package 'ejs.renderFile()' function Denial of Service Vulnerability,101893,Snyk Security Research Team,Nov 16 2017 12:00AM,CVE-2017-1000189,mde ejs 2.5.4
Multiple VMware Products Out of Bounds Read Multiple Local Arbitrary Code Execution Vulnerabilities,101892,Ke Liu of Tencent's Xuanwu Lab,Nov 20 2017 12:00AM,"CVE-2017-4936
				
					CVE-2017-4937",VMWare Workstation 12.5.7
Varnish Cache CVE-2017-8807 Information Disclosure Vulnerability,101886,The vendor reported this issue.,Nov 15 2017 12:00AM,CVE-2017-8807,Varnish Varnish Cache 5.2
Symantec Management Console CVE-2017-15527 Directory Traversal Vulnerability,101743,Christoffer Wiman,Nov 20 2017 12:00AM,CVE-2017-15527,Symantec Management Console  ITMS 8.1 RU3
Samba CVE-2017-15275 Information Disclosure Vulnerability,101908,Volker Lendecke of SerNet and the Samba Team.,Nov 21 2017 12:00AM,CVE-2017-15275,Samba Samba 4.6.8
Apache Camel CVE-2017-12633 Deserialization Remote Code Execution Vulnerability,101874,Moritz Bechler from AgNO3 GmbH & Co.,Nov 15 2017 12:00AM,CVE-2017-12633,Redhat JBoss Fuse 6.0
Multiple TIBCO Products CVE-2017-5533 Information Disclosure Vulnerability,101878,The vendor reported this issue.,Nov 15 2017 12:00AM,CVE-2017-5533,TIBCO Jaspersoft Reporting and Analytics for AWS 6.4
Oracle Tuxedo CVE-2017-10269 Remote Security Vulnerability,101841,The vendor reported this issue.,Nov 14 2017 12:00AM,CVE-2017-10269,Oracle Tuxedo 12.2.2
Microsoft Edge Scripting Engine CVE-2017-11841 Remote Memory Corruption Vulnerability,101733,Lokihardt of Google Project Zero,Nov 14 2017 12:00AM,CVE-2017-11841,Microsoft Edge  0
VMware NSX Edge CVE-2017-4929 Cross site Scripting Vulnerability,101891,Jarad Kopf of Deltek and Issam Rabhi,Nov 16 2017 12:00AM,CVE-2017-4929,VMWare NSX Edge 6.3
Multiple Siemens SICAM RTU Products Multiple Security Vulnerabilities,101884,SEC Consult Vulnerability Lab.,Nov 14 2017 12:00AM,"CVE-2017-12737
				
					CVE-2017-12738
				
					CVE-2017-12739",Siemens SICAM RTUs SM-2556 COM Modules  MODi00
Adobe Experience Manager CVE-2017-3111 Information Disclosure Vulnerability,101843,The vendor reported this issue.,Nov 14 2017 12:00AM,CVE-2017-3111,Adobe Experience Manager 6.1
SAP GUI for HTML Cross Site Scripting Vulnerability,100788,The vendor reported this issue.,Sep 12 2017 12:00AM,,SAP Gui  0
SAP Landscape Management Information Disclosure Vulnerability,101845,The vendor reported the issue.,Nov 14 2017 12:00AM,,SAP Landscape Management  3.0
SAP HANA Information Disclosure Vulnerability,101847,The vendor reported the issue.,Nov 14 2017 12:00AM,,SAP HANA  0
Debian Postgresql-common CVE-2017-8806 Multiple Insecure Temporary File Handling Vulnerabilities,101810,Christoph Berg,Nov 13 2017 12:00AM,CVE-2017-8806,Ubuntu Ubuntu Linux  17.10
Microsoft Internet Explorer CVE-2017-11848 Information Disclosure Vulnerability,101709,Microsoft,Nov 14 2017 12:00AM,CVE-2017-11848,Microsoft Internet Explorer  9
Multiple VMware Products CVE-2017-4938 Denial of Service Vulnerability,101887,Skyer,Nov 16 2017 12:00AM,CVE-2017-4938,VMWare Workstation 12.5.7
Microsoft ASP.NET Core CVE-2017-11770 Denial of Service Vulnerability,101710,Bachraty Gergely,Nov 14 2017 12:00AM,CVE-2017-11770,Microsoft ASP.NET Core  2.0
Microsoft Windows Kernel CVE-2017-11851 Local Information Disclosure Vulnerability,101763,Marcin Wiazowski working with Trend Micro's Zero Day Initiative.,Nov 14 2017 12:00AM,CVE-2017-11851,Microsoft Windows Server 2016  0
Microsoft Windows Kernel CVE-2017-11849 Local Information Disclosure Vulnerability,101762,"@fanxiaocao and pjf of IceSword Lab, Qihoo 360.",Nov 14 2017 12:00AM,CVE-2017-11849,Microsoft Windows Server 2016  0
Magento Multiple Security Vulnerabilities,101912,"pocallaghan, jazzy2fives, fabian, mortis, convenient, magecraze.",Nov 07 2017 12:00AM,,Magento Magento 2.1.9
Microsoft Internet Explorer CVE-2017-11856 Remote Memory Corruption Vulnerability,101753,Hui Gao of Palo Alto Networks,Nov 14 2017 12:00AM,CVE-2017-11856,Microsoft Internet Explorer  11
Microsoft Windows Kernel CVE-2017-11853 Local Information Disclosure Vulnerability,101764,Mateusz Jurczyk of Google Project Zero.,Nov 14 2017 12:00AM,CVE-2017-11853,Microsoft Windows Server 2016  0
Moodle CVE-2017-15110 Information Disclosure Vulnerability,101909,Tim Schroeder,Nov 20 2017 12:00AM,CVE-2017-15110,Moodle Moodle 3.3.1
Linux kernel 'block/bio.c' Multiple Local Information Disclosure Vulnerabilities,101911,Vitaly Mayatskikh,Sep 21 2017 12:00AM,CVE-2017-12190,Redhat Enterprise Mrg  2
Microsoft Windows Device Guard CVE-2017-11830 Security Bypass Vulnerability,101714,James Forshaw of Google Project Zero.,Nov 14 2017 12:00AM,CVE-2017-11830,Microsoft Windows Server 2016  0
Microsoft Windows Kernel CVE-2017-11831 Local Information Disclosure Vulnerability,101721,Mateusz Jurczyk of Google Project Zero.,Nov 14 2017 12:00AM,CVE-2017-11831,Microsoft Windows Server 2016  0
Adobe Photoshop CC 2017 APSB17-34 Multiple Remote Code Execution Vulnerabilities,101829,Honggang Ren of Fortinet's FortiGuard Labs and TrendyTofu working with Trend Micro's Zero Day Initiative,Nov 14 2017 12:00AM,"CVE-2017-11303
				
					CVE-2017-11304",Adobe Photoshop CC 2017  18.1.1 (2017.1.1)
Linux Kernel 'drivers/media/usb/hdpvr/hdpvr-core.c' Local Denial of Service Vulnerability,101842,Andrey Konovalov,Nov 07 2017 12:00AM,CVE-2017-16644,Linux kernel 4.13.11
Microsoft Word CVE-2017-11854 Memory Corruption Vulnerability,101746,Wayne Low (@x9090) of Fortinetâ??s FortiGuard Lab.,Nov 14 2017 12:00AM,CVE-2017-11854,Microsoft Word 2010 Service Pack 2 (64-bit editions)  0
Microsoft Windows Kernel CVE-2017-11880 Local Information Disclosure Vulnerability,101755,Mateusz Jurczyk of Google Project zero.,Nov 14 2017 12:00AM,CVE-2017-11880,Microsoft Windows Server 2016  0
Microsoft Edge CVE-2017-11844 Information Disclosure Vulnerability,101707,Debasish Mandal  of  McAfee IPS Vulnerability Research,Nov 14 2017 12:00AM,CVE-2017-11844,Microsoft Edge  0
Microsoft Windows Kernel CVE-2017-11842 Local Information Disclosure Vulnerability,101719,Georgios Baltas of MSRC Vulnerabilities & Mitigations Team.,Nov 14 2017 12:00AM,CVE-2017-11842,Microsoft Windows Server 2016  0
Microsoft Edge CVE-2017-11845 Remote Memory Corruption Vulnerability,101708,Omair,Nov 14 2017 12:00AM,CVE-2017-11845,Microsoft Edge  0
Microsoft Edge CVE-2017-11833 Information Disclosure Vulnerability,101706,Alexander InfÃ¼hr (@insertScript) of Cure53,Nov 14 2017 12:00AM,CVE-2017-11833,Microsoft Edge  0
Apache Sling Servlets Post CVE-2017-11296 Cross Site Scripting Vulnerability,101844,The vendor reported this issue.,Nov 14 2017 12:00AM,CVE-2017-11296,Apache Sling Servlets Post 2.3.20
Microsoft Edge Scripting Engine CVE-2017-11861 Remote Memory Corruption Vulnerability,101723,Lokihardt of Google Project Zero,Nov 14 2017 12:00AM,CVE-2017-11861,Microsoft Edge  0
Microsoft Windows Media Player CVE-2017-11768 Local Information Disclosure Vulnerability,101705,James Lee of Kryptos Logic.,Nov 14 2017 12:00AM,CVE-2017-11768,Microsoft Windows Server 2016  0
Microsoft Windows CVE-2017-11832 Information Disclosure Vulnerability,101726,Wayne Low (@x9090) of Fortinetâ??s FortiGuard Lab.,Nov 14 2017 12:00AM,CVE-2017-11832,Microsoft Windows Server 2012  0
Microsoft Windows Kernel CVE-2017-11847 Local Privilege Escalation Vulnerability,101729,"nyaacate of Viettel Cyber Security working with Trend Micro's Zero Day Initiative.
.",Nov 14 2017 12:00AM,CVE-2017-11847,Microsoft Windows Server 2016  0
Microsoft Internet Explorer CVE-2017-11855 Remote Memory Corruption Vulnerability,101751,Hui Gao of Palo Alto Networks,Nov 14 2017 12:00AM,CVE-2017-11855,Microsoft Internet Explorer  9
Microsoft Internet Explorer and Edge CVE-2017-11858 Remote Memory Corruption Vulnerability,101716,Huang Anwen of ichunqiu Ker Team working with Trend Micro's Zero Day Initiative,Nov 14 2017 12:00AM,CVE-2017-11858,Microsoft Internet Explorer  9
Microsoft Edge Content Security Policy CVE-2017-11863 Security Bypass Vulnerability,101748,"Stefano Calzavara and Alvise Rabitti of UniversitÃ  Ca'Foscari, Venezia",Nov 14 2017 12:00AM,CVE-2017-11863,Microsoft Edge  0
Microsoft Internet Explorer and Edge CVE-2017-11837 Remote Memory Corruption Vulnerability,101722,Qixun Zhao of Qihoo 360 Vulcan Team,Nov 14 2017 12:00AM,CVE-2017-11837,Microsoft Internet Explorer  11
Microsoft Internet Explorer and Edge CVE-2017-11838 Remote Memory Corruption Vulnerability,101737,The UKâ??s National Cyber Security Centre (NCSC),Nov 14 2017 12:00AM,CVE-2017-11838,Microsoft Internet Explorer  11
Microsoft Edge Scripting Engine CVE-2017-11840 Remote Memory Corruption Vulnerability,101734,Lokihardt of Google Project Zero,Nov 14 2017 12:00AM,CVE-2017-11840,Microsoft Edge  0
Microsoft Edge Scripting Engine CVE-2017-11866 Remote Memory Corruption Vulnerability,101732,Microsoft,Nov 14 2017 12:00AM,CVE-2017-11866,Microsoft Edge  0
Microsoft ASP.NET Core CVE-2017-11879 Open Redirection Vulnerability,101713,Kavin Chalet,Nov 14 2017 12:00AM,CVE-2017-11879,Microsoft ASP.NET Core  2.0
Microsoft Excel CVE-2017-11877 Security Bypass Vulnerability,101747,Jonathan Birch Microsoft Corporation.,Nov 14 2017 12:00AM,CVE-2017-11877,Microsoft Excel Viewer 2007 Service Pack 3  0
Microsoft Internet Explorer and Edge CVE-2017-11846 Remote Memory Corruption Vulnerability,101741,Yuki Chen of Qihoo 360 Vulcan Team,Nov 14 2017 12:00AM,CVE-2017-11846,Microsoft Internet Explorer  9
Microsoft Edge Scripting Engine CVE-2017-11871 Remote Memory Corruption Vulnerability,101730,Microsoft,Nov 14 2017 12:00AM,CVE-2017-11871,Microsoft Edge  0
Microsoft Internet Explorer CVE-2017-11869 Remote Memory Corruption Vulnerability,101742,Anonymous working with Trend Micro's Zero Day Initiative,Nov 14 2017 12:00AM,CVE-2017-11869,Microsoft Internet Explorer  9
Microsoft Internet Explorer and Edge CVE-2017-11843 Remote Memory Corruption Vulnerability,101740,Wei of Qihoo 360 Vulcan Team,Nov 14 2017 12:00AM,CVE-2017-11843,Microsoft Internet Explorer  9
Microsoft Edge CVE-2017-11872 Security Bypass Vulnerability,101749,Prakash Sharma (@1lastBr3ath),Nov 14 2017 12:00AM,CVE-2017-11872,Microsoft Edge  0
Microsoft Edge Scripting Engine CVE-2017-11836 Remote Memory Corruption Vulnerability,101727,Microsoft ChakraCore Team,Nov 14 2017 12:00AM,CVE-2017-11836,Microsoft Edge  0
Microsoft Edge Scripting Engine CVE-2017-11873 Remote Memory Corruption Vulnerability,101728,Lokihardt of Google Project Zero,Nov 14 2017 12:00AM,CVE-2017-11873,Microsoft Edge  0
Microsoft Internet Explorer CVE-2017-11834 Information Disclosure Vulnerability,101725,Hui Gao of Palo Alto Networks,Nov 14 2017 12:00AM,CVE-2017-11834,Microsoft Internet Explorer  9
Adobe Shockwave Player CVE-2017-11294 Unspecified Memory Corruption Vulnerability,101836,Honggang Ren of Fortinet's FortiGuard Labs.,Nov 14 2017 12:00AM,CVE-2017-11294,Adobe Shockwave Player  12.0.7 149
Microsoft ASP.NET Core CVE-2017-11883 Denial of Service Vulnerability,101835,Microsoft,Nov 14 2017 12:00AM,CVE-2017-11883,Microsoft ASP.NET Core  2.0
Microsoft Edge CVE-2017-11874 Security Bypass Vulnerability,101750,Ivan Fratric of Google Project Zero.,Nov 14 2017 12:00AM,CVE-2017-11874,Microsoft Edge  0
Microsoft Windows CVE-2017-11835 Information Disclosure Vulnerability,101736,Wayne Low (@x9090) of Fortinetâ??s FortiGuard Lab.,Nov 14 2017 12:00AM,CVE-2017-11835,Microsoft Windows Server 2008 R2 for x64-based Systems  SP1
Microsoft Excel CVE-2017-11878 Memory Corruption Vulnerability,101756,Jaanus Kp Clarified Security working with Trend Micro's Zero Day Initiative.,Nov 14 2017 12:00AM,CVE-2017-11878,Microsoft Office Compatibility Pack  SP3
Multiple SAP Products Information Disclosure Vulnerability,101805,The vendor reported the issue.,Nov 14 2017 12:00AM,,SAP Landscape Virtualization Management  2.1
Microsoft Windows Search CVE-2017-11788 Remote Denial of Service Vulnerability,101711,Lei Shi of Qihoo 360 Inc.,Nov 14 2017 12:00AM,CVE-2017-11788,Microsoft Windows Server 2016  0
SAP Text Conversion Module Remote Code Injection Vulnerability,101800,The vendor reported this issue.,Nov 14 2017 12:00AM,,SAP CONVERT_TEXT  0
SAP Management Console Unspecified Access Bypass Vulnerability,101806,The vendor reported this issue.,Nov 14 2017 12:00AM,,
Microsoft Edge Scripting Engine CVE-2017-11870 Remote Memory Corruption Vulnerability,101731,Microsoft,Nov 14 2017 12:00AM,CVE-2017-11870,Microsoft Edge  0
SAP NetWeaver XML External Entity Injection Vulnerability,100800,The vendor reported this issue.,Sep 12 2017 12:00AM,,SAP NetWeaver   0
Microsoft Edge Scripting Engine CVE-2017-11839 Remote Memory Corruption Vulnerability,101735,Lokihardt of Google Project Zero,Nov 14 2017 12:00AM,CVE-2017-11839,Microsoft Edge  0
SAP SCM-APO-INT Remote Authorization Bypass Vulnerability,101807,The vendor reported this issue.,Nov 14 2017 12:00AM,,SAP SCM-APO-INT  0
SAP HANA SAP Systems Installation Privilege Escalation Vulnerability,101809,SAP,Nov 14 2017 12:00AM,,SAP HANA  0
SAP NwSapSetup DLL Loading Local Code Execution Vulnerability,101801,The vendor reported this issue.,Nov 14 2017 12:00AM,,SAP NwSapSetup  0
SAP Customer Relationship Management Mail Form Editor Unspecified Cross Site Scripting Vulnerability,101811,The vendor reported this issue.,Nov 14 2017 12:00AM,,SAP Customer Relationship Management (CRM)  0
Microsoft Office CVE-2017-11884 Memory Corruption Vulnerability,101766,Dhanesh Kizhakkinan FireEye Inc.,Nov 14 2017 12:00AM,CVE-2017-11884,Microsoft Excel 2016 Click-to-Run (C2R) for 64-bit edition  0
SAP Note Assistant Unspecified Security Vulnerability,100832,The vendor reported this issue.,Sep 12 2017 12:00AM,,SAP Note Assistant  0
NetApp Clustered Data ONTAP CVE-2017-5201 Incomplete Fix Information Disclosure Vulnerability,101776,The vendor reported this issue.,Sep 08 2017 12:00AM,CVE-2017-5201,NetApp Clustered Data ONTAP  9.0
Google Android Qualcomm Components Multiple Security Vulnerabilities,101774,"Wish Wu (@wish_wu) of Ant-financial Light-Year Security Lab, Xiling Gong of Tencent Security Platform Department.",Nov 06 2017 12:00AM,"CVE-2017-11013
				
					CVE-2017-11015
				
					CVE-2017-11014
				
					CVE-2017-11092
				
					CVE-2017-9690
				
					CVE-2017-11017
				
					CVE-2017-11028",Google Android  0
Multiple Schneider Electric Products CVE-2017-14024  Unspecified Stack Buffer Overflow Vulnerability,101779,Aaron Portnoy,Nov 09 2017 12:00AM,CVE-2017-14024,Schneider-Electric InTouch Machine Edition  8.0 SP2 Patch 1
SAP SAPUI5 Unspecified Cross Site Scripting Vulnerability,101803,The vendor reported this issue.,Nov 14 2017 12:00AM,,SAP SAPUI5  0
SAP NetWeaver AS Java Log Injection Security Bypass Vulnerability,101802,SAP,Nov 14 2017 12:00AM,,SAP NetWeaver AS Java  0
Multiple AutomationDirect Products CVE-2017-1402 DLL Loading Local Code Execution Vulnerability,101780,Mark Cross,Nov 09 2017 12:00AM,CVE-2017-14020,AutomationDirect SL-SOFT SOLO  1.1.0.5
PostgreSQL Multipe Memory Corruption and Security Bypass Vulnerabilities,101781,Moritz Muehlenhoff,Nov 09 2017 12:00AM,"CVE-2017-15098
				
					CVE-2017-15099",PostgreSQL PostgreSQL 9.6.4
Linux Kernel CVE-2016-10200 Multiple Privilege Escalation Vulnerabilities,101783,Baozeng Ding,Nov 18 2016 12:00AM,CVE-2016-10200,Redhat Enterprise Linux Server  7
VMware vCenter Server CVE-2017-4927 Denial of Service Vulnerability,101786,Honggang Ren of Fortinet's FortiGuard Labs.,Nov 09 2017 12:00AM,CVE-2017-4927,VMWare vCenter Server  6.5
Linux Kernel 'tty/tty_ldsem.c' Local Race Condition Vulnerability,74820,Wade Mealing,May 26 2015 12:00AM,CVE-2015-4170,Redhat Enterprise Mrg  2
