Impact,vendor,CVE_Numbers,Vulnerabilities,field_items,Legal_Notice,summary,Equipment,Affected_Products,published_date,id
Moxa reports that the vulnerability affects the following versions of NPort:,"This updated advisory is a follow-up to the original advisory titled ICSA-16-336-02 Moxa NPort Device Vulnerabilities that was published December 1, 2016, on the NCCIC/ICS-CERT web site.","CVE-2016-9361,CVE-2016-9369,CVE-2016-9363,CVE-2016-9371,CVE-2016-9365,CVE-2016-9366,CVE-2016-9348,CVE-2016-9367",These vulnerabilities could be exploited remotely.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Moxa NPort Device Vulnerabilities (Update A),"Security researchers Reid Wightman of RevICS Security, Mikael Vingaard, and Maxim Rupp have identified vulnerabilities in Moxa’s NPort serial device servers. Moxa has produced new firmware versions to mitigate these vulnerabilities.",,"December 01, 2016 | Last revised: March 21, 2017",ICSA-16-336-02A
Successful exploitation of these vulnerabilities could lead to a denial-of-service condition or result in credential disclosure.,"This updated advisory is a follow-up to the updated advisory titled ICSA-16-348-05C Siemens S7-300/400 PLC Vulnerabilities that was published November 28, 2017, on the NCCIC/ICS-CERT web site.","CVE-2016-9159,CVE-2016-9158",These vulnerabilities could be exploited remotely.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens S7-300/400 PLC Vulnerabilities (Update D),Zhu WenZhe from Beijing Acorn Network Technology has identified password leak and denial-of-service (DoS) vulnerabilities in Siemens’ S7-300 and S7-400 programmable logic controllers (PLCs). Siemens has released Security Advisory SSA-731239 with advice to mitigate these vulnerabilities.,Siemens reports that the vulnerabilities affect the following versions of SIMATIC PLC family:,"December 13, 2016 | Last revised: January 25, 2018",ICSA-16-348-05D
The following SICAM PAS versions are affected:,"This updated advisory is a follow-up to the original advisory titled ICSA-16-336-01 Siemens SICAM PAS Vulnerabilities that was published December 1, 2016, on the NCCIC/ICS-CERT web site.","CVE-2016-8567,CVE-2016-8566,CVE-2016-9156,CVE-2016-9157",Some of these vulnerabilities could be exploited remotely.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens SICAM PAS Vulnerabilities (Update A),Siemens has released an advisory to inform its users on how to mitigate vulnerabilities that affect SICAM PAS. Ilya Karpov and Dmitry Sklyarov of Positive Technologies and Sergey Temnikov and Vladimir Dashchenko of Kaspersky Lab coordinated these vulnerabilities directly with Siemens. Siemens has produced an update to mitigate some of these vulnerabilities.,,"December 01, 2016 | Last revised: June 15, 2017",ICSA-16-336-01A
The vulnerability could allow an attacker to take control of LGate that has its web server port publicly exposed.,"This advisory was originally posted to the US-CERT secure Portal library on September 29, 2016, and is being released to the NCCIC/ICS-CERT web site.",CVE-2016-5782,This vulnerability could be exploited remotely.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Locus Energy LGate Command Injection Vulnerability,Independent researcher Daniel Reich has identified a command injection vulnerability in Locus Energy’s LGate application. Locus Energy has produced a firmware update to mitigate this vulnerability.,The following LGate versions are affected:,"December 06, 2016",ICSA-16-231-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Independent researcher Maxim Rupp has identified a path traversal vulnerability in INTERSCHALT Maritime Systems’s (INTERSCHALT) VDR G4e application. INTERSCHALT has produced a patch to mitigate this vulnerability. Maxim Rupp has tested the patch to validate that it resolves the vulnerability.,CVE-2016-9339,INTERSCHALT reports that the vulnerability affects the following versions of VDR G4e:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",INTERSCHALT VDR G4e Path Traversal Vulnerability,This vulnerability could be exploited remotely.,Successful exploitation of this vulnerability could allow an attacker to read/download arbitrary files from the target host.,"December 08, 2016",ICSA-16-343-04
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Independent researcher Aditya K. Sood has identified a cross-site scripting vulnerability in Adcon Telemetry’s A850 Telemetry Gateway Base Station. Adcon Telemetry has produced a new firmware version to mitigate this vulnerability.,CVE-2016-2274,The following A850 Telemetry Gateway Base Station versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Adcon Telemetry A850 Telemetry Gateway Base Station Vulnerabilities,This vulnerability could be exploited remotely.,Successful exploitation of this vulnerability could allow the injection of arbitrary JavaScript that may affect the integrity of the system.,"December 08, 2016",ICSA-16-343-03
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Independent researcher Maxim Rupp has identified an authentication bypass vulnerability in Sauter’s NovaWeb web HMI application. Sauter has not produced a mitigation for this vulnerability. This product was discontinued in 2013 and is no longer supported.,CVE-2016-5782,The following NovaWeb versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Sauter NovaWeb Web HMI Authentication Bypass Vulnerability,This vulnerability could be exploited remotely.,An attacker can bypass authentication by modifying values in a cookie.,"December 08, 2016",ICSA-16-343-02
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of these vulnerabilities based on their operational environment, architecture, and product implementation.",Independent researcher Aditya Sood has identified vulnerabilities in Moxa’s MiiNePort. Moxa has produced new firmware editions to mitigate these vulnerabilities.,"CVE-2016-9344,CVE-2016-9346",Moxa reports that the vulnerabilities affect the following versions of MiiNePort:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Moxa MiiNePort Session Hijack Vulnerabilities,These vulnerabilities could be exploited remotely.,An attacker may be able to gain user-level access to the target system by exploiting these vulnerabilities.,"December 08, 2016",ICSA-16-343-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Mingzheng Li from Acorn Network Security Lab has identified an ActiveX vulnerability in Siemens’ SIMATIC WinCC and SIMATIC PCS 7. Siemens has produced a new version to mitigate this vulnerability.,CVE-2016-9160,Siemens reports that the vulnerability affects the following versions of SIMATIC:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens SIMATIC WinCC and SIMATIC PCS 7 ActiveX Vulnerability,This vulnerability could be exploited remotely.,Exploitation of this vulnerability may allow an attacker to crash the component or leak application memory content.,"December 13, 2016",ICSA-16-348-04
"Delta Electronics is a Taiwan-based company that maintains offices in several countries around the world, including China, Japan, South Korea, Singapore, India, Brazil, and the US.","Researchers axt and Ariele Caltabiano each working with Trend Micro's Zero Day Initiative (ZDI) have identified vulnerabilities in Delta Electronics’ WPLSoft, ISPSoft, and PMSoft software applications. Delta Electronics has produced new software versions to mitigate these vulnerabilities.","CVE-2016-5805,CVE-2016-5802",Successful exploitation of these vulnerabilities may allow an attacker to execute arbitrary code.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.","Delta Electronics WPLSoft, ISPSoft, and PMSoft Vulnerabilities",The following Delta Electronics products and versions are affected:,"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of these vulnerabilities based on their operational environment, architecture, and product implementation.","December 13, 2016",ICSA-16-348-03
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of these vulnerabilities based on their operational environment, architecture, and product implementation.",Independent researcher Zhou Yu has identified denial-of-service and unquoted service path privilege escalation vulnerabilities in Moxa’s DACenter application. Moxa has produced a patch to mitigate these vulnerabilities. Zhou Yu has tested the patch to validate that it resolves the vulnerabilities.,"CVE-2016-9354,CVE-2016-9356",Moxa reports that the vulnerability affects the following versions of DACenter:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Moxa DACenter Vulnerabilities,These vulnerabilities could be exploited remotely.,The vulnerabilities may render the DACenter application unavailable and also allow an authorized but nonprivileged local user to execute arbitrary code with privileges on the system.,"December 13, 2016",ICSA-16-348-02
"Impact to individual organizations depends on many factors that are unique to each organization. ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",A researcher working with Trend Micro’s Zero Day Initiative (ZDI) has identified a stack-based buffer overflow vulnerability in Fatek Automation’s PLC WinProladder application. Fatek Automation (Fatek) has not produced an update to mitigate this vulnerability. ZDI has coordinated with NCCIC/ICS-CERT. ZDI will publish the PLC WinProladder vulnerability.,CVE-2016-8377,The following PLC WinProladder version is affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Fatek Automation PLC WinProladder Stack-Based Buffer Overflow Vulnerability,This vulnerability could be exploited remotely.,Successful exploitation of the reported vulnerability may allow an attacker to perform a number of malicious actions including arbitrary code execution.,"December 15, 2016",ICSA-16-350-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of these vulnerabilities based on their operational environment, architecture, and product implementation.",Bill Voltmer of Elation Technologies LLC has identified vulnerabilities in OmniMetrix’s OmniView web application. OmniMetrix has produced a new software version for its web interface that mitigates these vulnerabilities.,"CVE-2016-5786,CVE-2016-5801",The following OmniView versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",OmniMetrix OmniView Vulnerabilities,These vulnerabilities could be exploited remotely.,Exploiting these vulnerabilities could compromise account credentials that may allow an attacker to control the operation of backup generators connected to the compromised account.,"December 15, 2016",ICSA-16-350-02
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of these vulnerabilities based on their operational environment, architecture, and product implementation.",Independent researcher Aditya K. Sood has identified cross-site scripting and source code disclosure vulnerabilities in Visonic’s PowerLink2 module. Visonic has produced an updated version to mitigate these vulnerabilities.,"CVE-2016-5811,CVE-2016-5813",The following PowerLink2 versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Visonic PowerLink2 Vulnerabilities,These vulnerabilities could be exploited remotely.,"Successful exploitation of these vulnerabilities allows the attacker to gather information on how server side images are generated. Careful analysis combined with some additional information (from testing the product), allows the attacker to download images from the server.","December 13, 2016",ICSA-16-348-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.","Siemens has released a firmware update to mitigate an insufficient entropy vulnerability that affects Siemens Desigo PX Web modules. Marcella Hastings, Joshua Fried, and Nadia Heninger from the University of Pennsylvania coordinated this vulnerability directly with Siemens.",CVE-2016-9154,Siemens reports that this vulnerability affects the following Desigo PX Web modules and versions:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens Desigo PX Web Module Insufficient Entropy Vulnerability,This vulnerability could be exploited remotely.,A successful exploitation of this vulnerability could allow an attacker to recover private keys used for HTTPS in the integrated web server.,"December 20, 2016",ICSA-16-355-01
The following Allen-Bradley MicroLogix 1400 controller versions are affected:,"This advisory was originally posted to the NCCIC Portal library on December 1, 2016, and is being released to the NCCIC/ICS-CERT web site.","CVE-2016-9334,CVE-2016-9338",These vulnerabilities could be exploited remotely.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Rockwell Automation MicroLogix 1100 and 1400 Vulnerabilities,Alexey Osipov and Ilya Karpov of Positive Technologies have identified vulnerabilities in Rockwell Automation’s Allen-Bradley MicroLogix 1100 and 1400 programmable logic controller (PLC) systems. Rockwell Automation has produced new firmware versions to mitigate some of the vulnerabilities.,The following Allen-Bradley MicroLogix 1100 controller versions are affected:,"January 05, 2017",ICSA-16-336-06
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Independent researcher Maxim Rupp has identified an authentication bypass vulnerability in WAGO’s Ethernet Web-based Management products. WAGO has produced firmware and workarounds to mitigate this vulnerability.,CVE-2016-9362,WAGO reports that the vulnerability affects the following products:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",WAGO Ethernet Web-based Management Authentication Bypass Vulnerability,This vulnerability could be exploited remotely.,An attacker who exploits this vulnerability could be able to view and edit settings without authenticating.,"December 22, 2016",ICSA-16-357-02
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Researcher Semen Rozhkov of Kaspersky Lab has identified a path traversal vulnerability in Fidelix’s FX-20 series controllers. Fidelix has produced a new software version to mitigate this vulnerability.,CVE-2016-9364,Fidelix reports that the vulnerability affects the following versions of FX-20 series controllers:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Fidelix FX-20 Series Controllers Path Traversal Vulnerability,This vulnerability could be exploited remotely.,Successful exploitation of this vulnerability may give an attacker the ability to read data from the device. The attacker cannot write data.,"December 22, 2016",ICSA-16-357-01
"The following firmware versions for the Logix5000 Controller product line are affected, excluding all firmware versions prior to FRN 16.00, which are not affected:","This updated advisory is a follow-up to the original advisory titled ICSA-16-343-05 Rockwell Automation Logix5000 Programmable Automation Controller Buffer Overflow Vulnerability that was published January 5, 2017, on the NCCIC/ICS-CERT web site.",CVE-2016-9343,"Rockwell Automation has produced new firmware versions to mitigate this vulnerability in the affected products. This is true with the following exceptions: 1) the FlexLogix controller, which has been discontinued and is no longer supported and 2) the PowerFlex 700S drives with Phase II control and embedded DriveLogix 5730 controller option installed.",--------- Begin Update A Part 1 of 5 --------,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Rockwell Automation Logix5000 Programmable Automation Controller Buffer Overflow Vulnerability (Update A),Rockwell Automation has identified a buffer overflow vulnerability in Rockwell Automation’s Logix5000 Programmable Automation Controller product line.,This vulnerability could be exploited remotely.,"January 05, 2017 | Last revised: February 14, 2017",ICSA-16-343-05A
The following Merlin@home transmitters are affected:,"This updated advisory is a follow-up to the original advisory titled ICSMA-17-009-01 St. Jude Merlin@home Transmitter Vulnerability that was published January 9, 2017, on the NCCIC/ICS-CERT web site.",CVE-2017-5149,This vulnerability could be exploited remotely. An attacker with high skill would be able to exploit this vulnerability.,--------- Begin Update A Part 1 of 5 --------,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",St. Jude Merlin@home Transmitter Vulnerability (Update A),"MedSec Holdings has identified a channel accessible by nonendpoint (“man-in-the-middle”) vulnerability in St. Jude Medical's Merlin@home transmitter, which affects both the RF and inductive models. St. Jude Medical has validated the vulnerability and produced a new software version that mitigates this vulnerability. A third-party security research firm has verified that the new software version mitigates the identified vulnerability.","The Food and Drug Administration (FDA) released a safety communication on January 9, 2017, Cybersecurity Vulnerabilities Identified in St. Jude Medical’s Implantable Cardiac Devices and Merlin@home Transmitter, to alert users about the identified vulnerability and corresponding mitigation as well as to provide recommendations to patients and healthcare providers. In response, ICS-CERT is releasing this advisory to provide additional information to patients and healthcare providers.","January 09, 2017 | Last revised: February 06, 2017",ICSMA-17-009-01A
OSIsoft reports that the vulnerability affects the following versions:, OSIsoft,CVE-2017-5153, Information Exposure Through Server Log Files,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",OSIsoft PI Coresight and PI Web API (Update A)," PI Coresight, PI Web API","This updated advisory is a follow-up to the original advisory titled ICSA-17-010-01 OSIsoft PI Coresight and PI Web API that was published January 10, 2017, on the NCCIC/ICS-CERT web site.","January 10, 2017 | Last revised: July 11, 2017",ICSA-17-010-01A
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of these vulnerabilities based on their operational environment, architecture, and product implementation.","Siemens has identified vulnerabilities in Siemen’s Automation License Manager (ALM). These vulnerabilities were reported directly to Siemens by Sergey Temnikov and Vladimir Dashchenko from Critical Infrastructure Defence Team, Kaspersky Lab. Siemens has produced a new version to mitigate these vulnerabilities.","CVE-2016-8563,CVE-2016-8564,CVE-2016-8565",Siemens reports that the vulnerabilities affect the following versions of ALM:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens Automation License Manager Vulnerabilities,These vulnerabilities could be exploited remotely.,"An attacker who successfully exploits these vulnerabilities may be able to upload files, change configuration settings, or create a denial-of-service condition.","October 13, 2016",ICSA-16-287-02
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Independent researcher He Congwen has identified a hard-coded password vulnerability in Schneider Electric’s PowerLogic PM8ECC device. Schneider Electric has produced a patch to mitigate this vulnerability.,CVE-2016-5818,The following PowerLogic PM8ECC versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Schneider Electric PowerLogic PM8ECC Hard-coded Password Vulnerability,This vulnerability could be exploited remotely.,An attacker who exploits this vulnerability would have access to configuration data on the device.,"October 18, 2016",ICSA-16-292-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",OSIsoft has identified a permissions vulnerability in its own PI Web API. OSIsoft has produced a new version to mitigate this vulnerability.,CVE-2016-8353,OSIsoft reports that the vulnerability affects the following versions of PI Web API:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",OSIsoft PI Web API 2015 R2 Service Account Permissions Vulnerability,This vulnerability could be exploited remotely.,Successful exploit of this vulnerability would allow access to the PI System via the service account user. Unauthorized viewing or alteration of PI System data is possible if the service account user had been configured with elevated permissions.,"October 13, 2016",ICSA-16-287-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Independent researcher Maxim Rupp has identified a privilege escalation vulnerability in Moxa’s EDR-810 Industrial Secure Router. Moxa has produced firmware to mitigate this vulnerability.,CVE-2016-8346,The following EDR-810 versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Moxa EDR-810 Industrial Secure Router Privilege Escalation Vulnerability,This vulnerability could be exploited remotely.,"Successful exploitation of  this vulnerability may allow a remote attacker to escalate privileges, initiate a denial-of-service condition, and execute arbitrary code.","October 20, 2016",ICSA-16-294-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.","Stephan Beirer, Markus Mahrla, Toralf Gimpel, and Sebastian Krause, from GAI NetConsult GmbH, and Adam Crain of Automatak LLC have identified a denial-of-service vulnerability in Siemens SICAM products. Siemens has produced a firmware update to mitigate this vulnerability.",CVE-2016-7987,Siemens reports that the vulnerability affects the following versions of SICAM:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens SICAM RTU Devices Denial-of-Service Vulnerability,This vulnerability could be exploited remotely.,Successful exploitation of this vulnerability could cause a denial of service. A cold start might be required to recover the system.,"October 25, 2016 | Last revised: November 07, 2016",ICSA-16-299-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Avihay Kain and Mille Gandelsman of Indegy have identified a vulnerability in Schneider Electric Unity PRO Software product. Schneider Electric has released a security notification with instructions to mitigate this vulnerability.,CVE-2016-8354,Schneider Electric reports that the vulnerability affects the following versions of Unity PRO:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Schneider Electric Unity PRO Control Flow Management Vulnerability,This vulnerability could be exploited remotely.,An attacker who misleads a valid user into loading a specially crafted malicious file into Unity Simulator could remotely execute arbitrary code.,"November 01, 2016",ICSA-16-306-03
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Ariele Caltabiano (kimiya) working with Trend Micro’s Zero Day Initiative has identified a buffer overflow vulnerability in IBHsoftec’s S7-SoftPLC. IBHsoftec has produced a new version to mitigate this vulnerability.,CVE-2016-8364,IBHsoftec reports that the vulnerability affects the following versions of S7-SoftPLC:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",IBHsoftec S7-SoftPLC CPX43 Heap-based Buffer Overflow Vulnerability,This vulnerability could be exploited remotely.,"An attacker who exploits this vulnerability may be able to affect integrity, confidentiality, and availability of the target device.","November 01, 2016",ICSA-16-306-02
