Date,CVSS_Severity,id,summary
"March 09, 2016; 06:59:03 PM -05:00","
                            ,V3:, ,8.6 HIGH,
                        ,
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2016-1286,"named in ISC BIND 9.x before 9.9.8-P4 and 9.10.x before 9.10.3-P4 allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a crafted signature record for a DNAME record, related to db.c and resolver.c."
"February 27, 2016; 11:59:00 PM -05:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,7.2 HIGH,
                        ",CVE-2016-2521,"Untrusted search path vulnerability in the WiresharkApplication class in ui/qt/wireshark_application.cpp in Wireshark 1.12.x before 1.12.10 and 2.0.x before 2.0.2 on Windows allows local users to gain privileges via a Trojan horse riched20.dll.dll file in the current working directory, related to use of QLibrary."
"February 12, 2016; 09:59:02 PM -05:00","
                            ,V3:, ,8.8 HIGH,
                        ,
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2016-0863,"Cross-site request forgery (CSRF) vulnerability in Tollgrade SmartGrid LightHouse Sensor Management System (SMS) Software EMS before 5.1, and 4.1.0 Build 16, allows remote attackers to hijack the authentication of arbitrary users."
"February 05, 2016; 06:59:00 AM -05:00","
                            ,V3:, ,8.8 HIGH,
                        ,
                            ,V2:, ,9.0 HIGH,
                        ",CVE-2016-0861,General Electric (GE) Industrial Solutions UPS SNMP/Web Adapter devices with firmware before 4.8 allow remote authenticated users to execute arbitrary commands via unspecified vectors.
"January 22, 2016; 10:59:00 AM -05:00","
                            ,V2:, ,10.0 HIGH,
                        ",CVE-2015-6013,"Unspecified vulnerability in the Oracle Outside In Technology component in Oracle Fusion Middleware 8.5.0, 8.5.1, and 8.5.2 allows local users to affect availability via unknown vectors related to Outside In Filters, a different vulnerability than CVE-2015-4808, CVE-2015-6014, CVE-2015-6015, and CVE-2016-0432.  NOTE: the previous information is from the January 2016 CPU. Oracle has not commented on third-party claims that this issue is a stack-based buffer overflow in Oracle Outside In 8.5.2 and earlier, which allows remote attackers to execute arbitrary code via a crafted WK4 file."
"January 20, 2016; 10:02:25 PM -05:00","
                            ,V2:, ,4.0 MEDIUM,
                        ",CVE-2016-0597,"Unspecified vulnerability in Oracle MySQL 5.5.46 and earlier, 5.6.27 and earlier, and 5.7.9 and MariaDB before 5.5.47, 10.0.x before 10.0.23, and 10.1.x before 10.1.10 allows remote authenticated users to affect availability via unknown vectors related to Optimizer."
"January 20, 2016; 10:02:04 PM -05:00","
                            ,V2:, ,6.4 MEDIUM,
                        ",CVE-2016-0576,Unspecified vulnerability in the Oracle Application Object Library component in Oracle E-Business Suite 11.5.10.2 allows remote attackers to affect confidentiality and integrity via vectors related to ICX LOVs.
"January 20, 2016; 10:01:44 PM -05:00","
                            ,V2:, ,5.5 MEDIUM,
                        ",CVE-2016-0556,"Unspecified vulnerability in the Oracle Advanced Collections component in Oracle E-Business Suite 11.5.10.2, 12.1.1, 12.1.2, and 12.1.3 allows remote authenticated users to affect confidentiality and integrity via unknown vectors related to Administration, a different vulnerability than CVE-2016-0557."
"January 20, 2016; 10:01:24 PM -05:00","
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2016-0536,Unspecified vulnerability in the Oracle Universal Work Queue component in Oracle E-Business Suite 11.5.10.2 allows remote attackers to affect integrity via unknown vectors related to error messages.
"January 20, 2016; 10:01:04 PM -05:00","
                            ,V2:, ,6.4 MEDIUM,
                        ",CVE-2016-0516,Unspecified vulnerability in the Oracle Quality component in Oracle E-Business Suite 11.5.10.2 allows remote attackers to affect confidentiality and integrity via unknown vectors related to QA / Order Management Integration.
"January 20, 2016; 10:00:44 PM -05:00","
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2016-0496,"Unspecified vulnerability in the MICROS CWDirect component in Oracle Retail Applications 12.5, 13.0, 14.0, 15.0, 16.0, 17.0, and 18.0 allows remote attackers to affect confidentiality via unknown vectors related to Order Entry."
"January 20, 2016; 10:00:23 PM -05:00","
                            ,V2:, ,5.8 MEDIUM,
                        ",CVE-2016-0475,"Unspecified vulnerability in the Java SE, Java SE Embedded, and JRockit components in Oracle Java SE 8u66; Java SE Embedded 8u65; and JRockit R28.3.8 allows remote attackers to affect confidentiality and integrity via unknown vectors related to Libraries."
"January 20, 2016; 10:00:02 PM -05:00","
                            ,V2:, ,1.8 LOW,
                        ",CVE-2016-0453,Unspecified vulnerability in the Oracle GlassFish Server component in Oracle Fusion Middleware 3.1.2 allows remote attackers to affect integrity via unknown vectors related to Embedded Server.
"January 20, 2016; 09:59:42 PM -05:00","
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2016-0433,Unspecified vulnerability in the Web Cache component in Oracle Fusion Middleware 11.1.1.9.0 allows remote attackers to affect confidentiality via vectors related to SSL support.
"January 20, 2016; 09:59:22 PM -05:00","
                            ,V2:, ,4.0 MEDIUM,
                        ",CVE-2016-0413,Unspecified vulnerability in the Oracle Identity Federation component in Oracle Fusion Middleware 11.1.1.7 allows remote authenticated users to affect integrity via vectors related to Federation protocol support.
"January 20, 2016; 11:59:01 AM -05:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,7.8 HIGH,
                        ",CVE-2015-5516,"Memory leak in the last hop kernel module in F5 BIG-IP LTM, GTM, and Link Controller 10.1.x, 10.2.x before 10.2.4 HF13, 11.x before 11.2.1 HF15, 11.3.x, 11.4.x, 11.5.x before 11.5.3 HF2, and 11.6.x before HF6, BIG-IP AAM 11.4.x, 11.5.x before 11.5.3 HF2 and 11.6.0 before HF6, BIG-IP AFM and PEM 11.3.x, 11.4.x, 11.5.x before 11.5.3 HF2, and 11.6.0 before HF6, BIG-IP Analytics 11.x before 11.2.1 HF15, 11.3.x, 11.4.x, 11.5.x before 11.5.3 HF2, and 11.6.0 before HF6, BIG-IP APM and ASM 10.1.0 through 10.2.4, 11.x before 11.2.1 HF15, 11.3.x, 11.4.x, 11.5.x before 11.5.3 HF2, and 11.6.0 before HF6, BIG-IP Edge Gateway, WebAccelerator, and WOM 10.1.x, 10.2.x before 10.2.4 HF13, 11.x before 11.2.1 HF15, and 11.3.0, BIG-IP PSM 10.1.x, 10.2.x before 10.2.4 HF13, 11.x before 11.2.1 HF15, 11.3.x, and 11.4.x before 11.4.1 HF, Enterprise Manager 3.0.0 through 3.1.1, BIG-IQ Cloud and Security 4.0.0 through 4.5.0, BIG-IQ Device 4.2.0 through 4.5.0, and BIG-IQ ADC 4.5.0 might allow remote attackers to cause a denial of service (memory consumption) via a large number of crafted UDP packets."
"January 14, 2016; 05:59:01 PM -05:00","
                            ,V3:, ,6.5 MEDIUM,
                        ,
                            ,V2:, ,4.0 MEDIUM,
                        ",CVE-2016-0777,"The resend_bytes function in roaming_common.c in the client in OpenSSH 5.x, 6.x, and 7.x before 7.1p2 allows remote servers to obtain sensitive information from process memory by requesting transmission of an entire buffer, as demonstrated by reading a private key."
"January 04, 2016; 12:59:18 AM -05:00","
                            ,V3:, ,5.5 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2015-8727,"The dissect_rsvp_common function in epan/dissectors/packet-rsvp.c in the RSVP dissector in Wireshark 1.12.x before 1.12.9 and 2.0.x before 2.0.1 does not properly maintain request-key data, which allows remote attackers to cause a denial of service (use-after-free and application crash) via a crafted packet."
"December 31, 2015; 12:59:00 AM -05:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2014-3260,Pacom 1000 CCU and RTU GMS devices allow remote attackers to spoof the controller-to-base data stream by leveraging improper use of cryptography.
"December 23, 2015; 06:59:01 AM -05:00","
                            ,V3:, ,8.0 HIGH,
                        ,
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2015-7925,"Cross-site request forgery (CSRF) vulnerability on eWON devices with firmware through 10.1s0 allows remote attackers to hijack the authentication of administrators for requests that trigger firmware upload, removal of configuration data, or a reboot."
"December 16, 2015; 06:59:20 AM -05:00","
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2015-7222,Integer underflow in the Metadata::setData function in MetaData.cpp in libstagefright in Mozilla Firefox before 43.0 and Firefox ESR 38.x before 38.5 allows remote attackers to execute arbitrary code or cause a denial of service (incorrect memory allocation and application crash) via an MP4 video file with crafted covr metadata that triggers a buffer overflow.
"December 11, 2015; 06:59:41 AM -05:00","
                            ,V2:, ,7.2 HIGH,
                        ",CVE-2015-7076,The Intel Graphics Driver component in Apple OS X before 10.11.2 allows local users to gain privileges or cause a denial of service (NULL pointer dereference) via unspecified vectors.
"November 24, 2015; 03:59:15 PM -05:00","
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-7981,"The png_convert_to_rfc1123 function in png.c in libpng 1.0.x before 1.0.64, 1.2.x before 1.2.54, and 1.4.x before 1.4.17 allows remote attackers to obtain sensitive process memory information via crafted tIME chunk data in an image file, which triggers an out-of-bounds read."
"November 16, 2015; 06:59:00 AM -05:00","
                            ,V2:, ,6.9 MEDIUM,
                        ",CVE-2015-2925,"The prepend_path function in fs/dcache.c in the Linux kernel before 4.2.4 does not properly handle rename actions inside a bind mount, which allows local users to bypass an intended container protection mechanism by renaming a directory, related to a ""double-chroot attack."""
"November 08, 2015; 05:59:03 PM -05:00","
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-1994,"IBM Security QRadar Incident Forensics 7.2.x before 7.2.5 Patch 5 does not include the HTTPOnly flag in a Set-Cookie header for the session cookie, which makes it easier for remote attackers to obtain potentially sensitive information via script access to this cookie."
"November 05, 2015; 12:59:10 AM -05:00","
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2015-7186,Mozilla Firefox before 42.0 on Android allows user-assisted remote attackers to bypass the Same Origin Policy and trigger (1) a download or (2) cached profile-data reading via a file: URL in a saved HTML document.
"October 28, 2015; 06:59:12 AM -04:00","
                            ,V2:, ,10.0 HIGH,
                        ",CVE-2015-6490,Stack-based buffer overflow on Allen-Bradley MicroLogix 1100 devices before B FRN 15.000 and 1400 devices through B FRN 15.003 allows remote attackers to execute arbitrary code via unspecified vectors.
"October 24, 2015; 10:59:01 PM -04:00","
                            ,V2:, ,6.4 MEDIUM,
                        ",CVE-2015-1002,"IniNet embeddedWebServer (aka eWebServer) before 2.02 mishandles URL encoding, which allows remote attackers to write to or delete files via a crafted string."
"October 21, 2015; 08:00:07 PM -04:00","
                            ,V2:, ,4.0 MEDIUM,
                        ",CVE-2015-4905,Unspecified vulnerability in Oracle MySQL Server 5.6.23 and earlier allows remote authenticated users to affect availability via vectors related to Server : DML.
"October 21, 2015; 07:59:45 PM -04:00","
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-4882,"Unspecified vulnerability in Oracle Java SE 6u101, 7u85, and 8u60, and Java SE Embedded 8u51, allows remote attackers to affect availability via vectors related to CORBA."
"October 21, 2015; 07:59:27 PM -04:00","
                            ,V2:, ,4.0 MEDIUM,
                        ",CVE-2015-4862,Unspecified vulnerability in Oracle MySQL Server 5.6.26 and earlier allows remote authenticated users to affect availability via vectors related to DML.
"October 21, 2015; 07:59:07 PM -04:00","
                            ,V2:, ,10.0 HIGH,
                        ",CVE-2015-4839,"Unspecified vulnerability in the Oracle Applications Technology Stack component in Oracle E-Business Suite 11.5.10.2 allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to DB Listener, a different vulnerability than CVE-2015-4798."
"October 21, 2015; 05:59:33 PM -04:00","
                            ,V2:, ,5.5 MEDIUM,
                        ",CVE-2015-4818,Unspecified vulnerability in the PeopleSoft Enterprise PeopleTools component in Oracle PeopleSoft Products 8.54 allows remote authenticated users to affect confidentiality and integrity via vectors related to PIA Core Technology.
"October 21, 2015; 05:59:13 PM -04:00","
                            ,V2:, ,9.0 HIGH,
                        ",CVE-2015-4796,"Unspecified vulnerability in the Java VM component in Oracle Database Server 11.2.0.4, 12.1.0.1, and 12.1.0.2, when running on Windows, allows remote authenticated users to affect confidentiality, integrity, and availability via unknown vectors, a different vulnerability than CVE-2015-4888."
"October 18, 2015; 03:59:01 PM -04:00","
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2015-6477,Multiple cross-site scripting (XSS) vulnerabilities in the Wind Farm Portal application in Nordex Control 2 (NC2) SCADA 16 and earlier allow remote attackers to inject arbitrary web script or HTML via unspecified vectors.
"October 01, 2015; 04:59:00 PM -04:00","
                            ,V2:, ,7.2 HIGH,
                        ",CVE-2015-1335,lxc-start in lxc before 1.0.8 and 1.1.x before 1.1.4 allows local container administrators to escape AppArmor confinement via a symlink attack on a (1) mount target or (2) bind mount source.
"September 24, 2015; 12:59:22 AM -04:00","
                            ,V2:, ,7.5 HIGH,
                        ",CVE-2015-7174,"The nsAttrAndChildArray::GrowBy function in Mozilla Firefox before 41.0 and Firefox ESR 38.x before 38.3 might allow remote attackers to cause a denial of service (memory corruption and application crash) or possibly have unspecified other impact via unknown vectors, related to an ""overflow."""
"September 24, 2015; 12:59:00 AM -04:00","
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2015-4476,"Mozilla Firefox before 41.0 on Android allows user-assisted remote attackers to spoof address-bar attributes by leveraging lack of navigation after a paste of a URL with a nonstandard scheme, as demonstrated by spoofing an SSL attribute."
"August 31, 2015; 06:59:12 AM -04:00","
                            ,V2:, ,7.8 HIGH,
                        ",CVE-2015-5364,"The (1) udp_recvmsg and (2) udpv6_recvmsg functions in the Linux kernel before 4.0.6 do not properly consider yielding a processor, which allows remote attackers to cause a denial of service (system hang) via incorrect checksums within a UDP packet flood."
"August 24, 2015; 10:59:09 AM -04:00","
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-5964,"The (1) contrib.sessions.backends.base.SessionBase.flush and (2) cache_db.SessionStore.flush functions in Django 1.7.x before 1.7.10, 1.4.x before 1.4.22, and possibly other versions create empty sessions in certain circumstances, which allows remote attackers to cause a denial of service (session store consumption) via unspecified vectors."
"August 15, 2015; 09:59:12 PM -04:00","
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-4484,The js::jit::AssemblerX86Shared::lock_addl function in the JavaScript implementation in Mozilla Firefox before 40.0 and Firefox ESR 38.x before 38.2 allows remote attackers to cause a denial of service (application crash) by leveraging the use of shared memory and accessing (1) an Atomics object or (2) a SharedArrayBuffer object.
"August 04, 2015; 10:59:14 AM -04:00","
                            ,V2:, ,10.0 HIGH,
                        ",CVE-2011-5322,"GE Healthcare Centricity Analytics Server 1.1 has a default password of (1) V0yag3r for the SQL Server sa user, (2) G3car3s for the analyst user, (3) G3car3s for the ccg user, (4) V0yag3r for the viewer user, and (5) geservice for the geservice user in the Webmin interface, which has unspecified impact and attack vectors."
"July 20, 2015; 07:59:02 PM -04:00","
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-3183,"The chunked transfer coding implementation in the Apache HTTP Server before 2.4.14 does not properly parse chunk headers, which allows remote attackers to conduct HTTP request smuggling attacks via a crafted request, related to mishandling of large chunk-size values and invalid chunk-extension characters in modules/http/http_filters.c."
"July 16, 2015; 07:01:05 AM -04:00","
                            ,V2:, ,6.9 MEDIUM,
                        ",CVE-2015-4775,"Unspecified vulnerability in the Data Store component in Oracle Berkeley DB 11.2.5.1.29, 11.2.5.2.42, 11.2.5.3.28, and 12.1.6.0.35 allows local users to affect confidentiality, integrity, and availability via unknown vectors, a different vulnerability than CVE-2015-2583, CVE-2015-2624, CVE-2015-2626, CVE-2015-2640, CVE-2015-2654, CVE-2015-2656, CVE-2015-4754, CVE-2015-4764, CVE-2015-4776, CVE-2015-4777, CVE-2015-4778, CVE-2015-4780, CVE-2015-4781, CVE-2015-4782, CVE-2015-4783, CVE-2015-4784, CVE-2015-4785, CVE-2015-4786, CVE-2015-4787, CVE-2015-4789, and CVE-2015-4790."
"July 16, 2015; 07:00:47 AM -04:00","
                            ,V2:, ,2.1 LOW,
                        ",CVE-2015-4753,"Unspecified vulnerability in the RDBMS Support Tools component in Oracle Database Server 11.2.0.3, 11.2.0.4, 12.1.0.1, and 12.1.0.2 allows local users to affect confidentiality via unknown vectors."
"July 16, 2015; 07:00:28 AM -04:00","
                            ,V2:, ,10.0 HIGH,
                        ",CVE-2015-4732,"Unspecified vulnerability in Oracle Java SE 6u95, 7u80, and 8u45, and Java SE Embedded 7u75 and 8u33 allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to Libraries, a different vulnerability than CVE-2015-2590."
"July 16, 2015; 07:00:09 AM -04:00","
                            ,V2:, ,4.0 MEDIUM,
                        ",CVE-2015-2650,Unspecified vulnerability in the PeopleSoft Enterprise PeopleTools component in Oracle PeopleSoft Products 8.53 and 8.54 allows remote authenticated users to affect confidentiality via unknown vectors related to Multichannel Framework.
"July 16, 2015; 06:59:51 AM -04:00","
                            ,V2:, ,10.0 HIGH,
                        ",CVE-2015-2628,"Unspecified vulnerability in Oracle Java SE 6u95, 7u80, and 8u45, and Java SE Embedded 7u75 and 8u33 allows remote attackers to affect confidentiality, integrity, and availability via vectors related to CORBA."
"July 16, 2015; 06:59:32 AM -04:00","
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-2607,"Unspecified vulnerability in the Oracle Commerce Guided Search / Oracle Commerce Experience Manager component in Oracle Commerce Platform 3.0.2, 3.1.1, 3.1.2, 11.0, and 11.1 allows remote attackers to affect confidentiality via unknown vectors related to Content Acquisition System."
"July 16, 2015; 06:59:14 AM -04:00","
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2015-2587,"Unspecified vulnerability in the Siebel UI Framework component in Oracle Siebel CRM 8.1.1, 8.2.2, and 15.0 allows remote attackers to affect integrity via vectors related to SWSE Server Infrastructure."
"July 09, 2015; 03:17:00 PM -04:00","
                            ,V3:, ,6.5 MEDIUM,
                        ,
                            ,V2:, ,6.4 MEDIUM,
                        ",CVE-2015-1793,"The X509_verify_cert function in crypto/x509/x509_vfy.c in OpenSSL 1.0.1n, 1.0.1o, 1.0.2b, and 1.0.2c does not properly process X.509 Basic Constraints cA values during identification of alternative certificate chains, which allows remote attackers to spoof a Certification Authority role and trigger unintended certificate verifications via a valid leaf certificate."
"July 05, 2015; 10:00:59 PM -04:00","
                            ,V2:, ,7.5 HIGH,
                        ",CVE-2015-2728,"The IndexedDatabaseManager class in the IndexedDB implementation in Mozilla Firefox before 39.0 and Firefox ESR 31.x before 31.8 and 38.x before 38.1 misinterprets an unspecified IDBDatabase field as a pointer, which allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via unspecified vectors, related to a ""type confusion"" issue."
"July 01, 2015; 10:59:12 AM -04:00","
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-4695,meta.h in libwmf 0.2.8.4 allows remote attackers to cause a denial of service (out-of-bounds read) via a crafted WMF file.
"June 12, 2015; 03:59:01 PM -04:00","
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2015-1788,"The BN_GF2m_mod_inv function in crypto/bn/bn_gf2m.c in OpenSSL before 0.9.8s, 1.0.0 before 1.0.0e, 1.0.1 before 1.0.1n, and 1.0.2 before 1.0.2b does not properly handle ECParameters structures in which the curve is over a malformed binary polynomial field, which allows remote attackers to cause a denial of service (infinite loop) via a session that uses an Elliptic Curve algorithm, as demonstrated by an attack against a server that supports client authentication."
"May 31, 2015; 01:59:07 PM -04:00","
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2015-3939,"Directory traversal vulnerability in the NC854 and NC856 modules for IDS RTU 850C devices allows remote authenticated users to read arbitrary files via unspecified vectors involving an internal web server, as demonstrated by reading a TELNET credentials file."
"May 20, 2015; 03:59:02 PM -04:00","
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2015-3141,"Multiple cross-site request forgery (CSRF) vulnerabilities in Synametrics Technologies Xeams 4.5 Build 5755 and earlier allow remote attackers to hijack the authentication of administrators for requests that create an (1) SMTP domain or a (2) user via a request to /FrontController; or conduct cross-site scripting (XSS) attacks via the (3) domainname parameter to /FrontController, when creating a new SMTP domain configuration; the (4) txtRecipient parameter to /FrontController, when creating a new forwarder; the (5) popFetchServer, (6) popFetchUser, or (7) popFetchRecipient parameter to /FrontController, when creating a new POP3 Fetcher account; or the (8) Smtp HELO domain in the Advanced Server Configuration."
"May 13, 2015; 02:59:00 PM -04:00","
                            ,V2:, ,7.7 HIGH,
                        ",CVE-2015-3456,"The Floppy Disk Controller (FDC) in QEMU, as used in Xen 4.5.x and earlier and KVM, allows local guest users to cause a denial of service (out-of-bounds write and guest crash) or possibly execute arbitrary code via the (1) FD_CMD_READ_ID, (2) FD_CMD_DRIVE_SPECIFICATION_COMMAND, or other unspecified commands, aka VENOM."
"April 16, 2015; 01:00:08 PM -04:00","
                            ,V2:, ,7.2 HIGH,
                        ",CVE-2015-2577,"Unspecified vulnerability in Oracle Sun Solaris 10 allows local users to affect confidentiality, integrity, and availability via unknown vectors related to Accounting commands."
"April 16, 2015; 12:59:52 PM -04:00","
                            ,V2:, ,4.0 MEDIUM,
                        ",CVE-2015-0503,Unspecified vulnerability in Oracle MySQL Server 5.6.23 and earlier allows remote authenticated users to affect availability via unknown vectors related to Server : Partition.
"April 16, 2015; 12:59:35 PM -04:00","
                            ,V2:, ,4.0 MEDIUM,
                        ",CVE-2015-0483,"Unspecified vulnerability in the Core RDBMS component in Oracle Database Server 11.1.0.7, 11.2.0.3, 11.2.0.4, 12.1.0.1, and 12.1.0.2 allows remote authenticated users to affect integrity via unknown vectors."
"April 16, 2015; 12:59:17 PM -04:00","
                            ,V2:, ,9.3 HIGH,
                        ",CVE-2015-0460,"Unspecified vulnerability in Oracle Java SE 5.0u81, 6u91, 7u76, and 8u40 allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to Hotspot."
"April 16, 2015; 10:59:03 AM -04:00","
                            ,V2:, ,6.5 MEDIUM,
                        ",CVE-2015-1822,"chrony before 1.31.1 does not initialize the last ""next"" pointer when saving unacknowledged replies to command requests, which allows remote authenticated users to cause a denial of service (uninitialized pointer dereference and daemon crash) or possibly execute arbitrary code via a large number of command requests."
"April 03, 2015; 06:59:13 AM -04:00","
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-0991,"Inductive Automation Ignition 7.7.2 allows remote attackers to obtain sensitive information by reading an error message about an unhandled exception, as demonstrated by pathname information."
"April 01, 2015; 06:59:03 AM -04:00","
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2015-0802,"Mozilla Firefox before 37.0 relies on docshell type information instead of page principal information for Window.webidl access control, which might allow remote attackers to execute arbitrary JavaScript code with chrome privileges via certain content navigation that leverages the reachability of a privileged window with an unintended persistence of access to restricted internal methods."
"March 30, 2015; 06:59:00 AM -04:00","
                            ,V2:, ,4.6 MEDIUM,
                        ",CVE-2013-6501,"The default soap.wsdl_cache_dir setting in (1) php.ini-production and (2) php.ini-development in PHP through 5.6.7 specifies the /tmp directory, which makes it easier for local users to conduct WSDL injection attacks by creating a file under /tmp with a predictable filename that is used by the get_sdl function in ext/soap/php_sdl.c."
"March 20, 2015; 10:59:03 AM -04:00","
                            ,V2:, ,8.5 HIGH,
                        ",CVE-2015-1804,"The bdfReadCharacters function in bitmap/bdfread.c in X.Org libXfont before 1.4.9 and 1.5.x before 1.5.1 does not properly perform type conversion for metrics values, which allows remote authenticated users to cause a denial of service (out-of-bounds memory access) and possibly execute arbitrary code via a crafted BDF font file."
"March 13, 2015; 09:59:12 PM -04:00","
                            ,V2:, ,9.0 HIGH,
                        ",CVE-2015-0980,Format string vulnerability in BACnOPCServer.exe in the SOAP web interface in SCADA Engine BACnet OPC Server before 2.1.371.24 allows remote attackers to execute arbitrary code via format string specifiers in a request.
"March 02, 2015; 06:59:00 AM -05:00","
                            ,V2:, ,2.1 LOW,
                        ",CVE-2013-7421,"The Crypto API in the Linux kernel before 3.18.5 allows local users to load arbitrary kernel modules via a bind system call for an AF_ALG socket with a module name in the salg_name field, a different vulnerability than CVE-2014-9644."
"February 23, 2015; 08:59:00 PM -05:00","
                            ,V2:, ,10.0 HIGH,
                        ",CVE-2015-0240,"The Netlogon server implementation in smbd in Samba 3.5.x and 3.6.x before 3.6.25, 4.0.x before 4.0.25, 4.1.x before 4.1.17, and 4.2.x before 4.2.0rc5 performs a free operation on an uninitialized stack pointer, which allows remote attackers to execute arbitrary code via crafted Netlogon packets that use the ServerPasswordSet RPC API, as demonstrated by packets reaching the _netr_ServerPasswordSet function in rpc_server/netlogon/srv_netlog_nt.c."
"February 08, 2015; 06:59:32 AM -05:00","
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2014-9671,Off-by-one error in the pcf_get_properties function in pcf/pcfread.c in FreeType before 2.5.4 allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a crafted PCF file with a 0xffffffff size value that is improperly incremented.
"January 30, 2015; 06:59:28 AM -05:00","
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2014-8816,CoreGraphics in Apple OS X before 10.10 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted PDF document.
"January 21, 2015; 02:59:15 PM -05:00","
                            ,V2:, ,3.3 LOW,
                        ",CVE-2015-0429,Unspecified vulnerability in Oracle Sun Solaris 10 and 11 allows local users to affect integrity and availability via vectors related to RPC Utility.
"January 21, 2015; 01:59:51 PM -05:00","
                            ,V2:, ,5.8 MEDIUM,
                        ",CVE-2015-1038,p7zip 9.20.1 allows remote attackers to write to arbitrary files via a symlink attack in an archive.
"January 21, 2015; 01:59:34 PM -05:00","
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2015-0390,"Unspecified vulnerability in the MICROS Retail component in Oracle Retail Applications Xstore: 3.2.1, 3.4.2, 3.5.0, 4.0.1, 4.5.1, 4.8.0, 5.0.3, 5.5.3, 6.0.6, and 6.5.2 allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to Xstore Point of Sale."
"January 21, 2015; 01:59:17 PM -05:00","
                            ,V2:, ,3.5 LOW,
                        ",CVE-2015-0370,"Unspecified vulnerability in the Core RDBMS component in Oracle Database Server 11.1.0.7, 11.2.0.3, 11.2.0.4, and 12.1.0.1 allows remote authenticated users to affect integrity via unknown vectors, a different vulnerability than CVE-2013-5858."
"January 21, 2015; 10:28:27 AM -05:00","
                            ,V2:, ,2.6 LOW,
                        ",CVE-2014-6591,"Unspecified vulnerability in the Java SE component in Oracle Java SE 5.0u75, 6u85, 7u72, and 8u25 allows remote attackers to affect confidentiality via unknown vectors related to 2D, a different vulnerability than CVE-2014-6585."
"January 21, 2015; 10:28:10 AM -05:00","
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2014-6571,"Unspecified vulnerability in the Oracle HTTP Server component in Oracle Fusion Middleware 11.1.1.7.0, 12.1.2.0, and 12.1.3.0 allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to Web Listener, a different vulnerability than CVE-2011-1944."
"January 21, 2015; 09:59:05 AM -05:00","
                            ,V2:, ,4.9 MEDIUM,
                        ",CVE-2014-6509,Unspecified vulnerability in Oracle Solaris 10 allows local users to affect availability via unknown vectors related to Kernel.
"January 14, 2015; 06:59:09 AM -05:00","
                            ,V2:, ,7.5 HIGH,
                        ",CVE-2014-8641,"Use-after-free vulnerability in the WebRTC implementation in Mozilla Firefox before 35.0, Firefox ESR 31.x before 31.4, and SeaMonkey before 2.32 allows remote attackers to execute arbitrary code via crafted track data."
